Symbol,Sector,Shares Outstanding,Market Price,Percent Change,Last Trade On,52 Week Low/High,180 Day Average,120 Day Average,One Year Yield,EPS,P/E Ratio,Book Value,P/B Ratio,Dividend,180Change,Technical Quality,Fundamental Health,Final Rating
DDBL,Microfinance,"20,551,142.70",870.10,-1.12 %,2026/03/17 02:58:43,"1,010.00-759.00",847.06,850.86,9.45%,"43.10                                                                    (FY:082-083, Q:2)",20.19,210.12,4.14,5.00                                                                    (FY:081-082),2.72,0,0.0879,0.0440
SANIMA,Commercial Banks,"135,815,254.14",349.50,0.14 %,2026/03/17 02:59:48,391.00-294.30,323.62,326.12,14.59%,"20.48                                                                    (FY:082-083, Q:2)",17.07,172.39,2.03,7.37                                                                    (FY:081-082),8.00,0.4292,0.1454,0.2873
NABBC,Development Bank Limited,"5,249,352.00","1,466.00",0 %,2026/03/17 02:59:59,"2,060.00-662.00","1,151.84","1,309.61",-24.55%,"-18.04                                                                    (FY:082-083, Q:2)",-81.26,33.05,44.36,,0,0,0,0.0000
NICL,Non-Life Insurance,"25,485,750.10",515.00,-0.17 %,2026/03/17 02:59:50,"1,005.00-483.00",513.33,509.73,-48.08%,"0.39                                                                    (FY:082-083, Q:2)","1,320.51",170.11,3.03,6.32                                                                    (FY:081-082),0.33,0,0,0.0000
RBCL,Non-Life Insurance,"2,666,390.60","15,500.00",-0.32 %,2026/03/17 02:58:06,"16,900.00-14,251.00","14,968.90","14,997.62",4.73%,"132.96                                                                    (FY:082-083, Q:2)",116.58,"6,461.26",2.40,6.00                                                                    (FY:062-063),0,0,0,0.0000
NLICL,Life Insurance,"56,916,493.30",608.60,-0.23 %,2026/03/17 02:56:59,691.00-539.00,597.11,597.80,-4.61%,"10.08                                                                    (FY:082-083, Q:2)",60.38,127.64,4.77,8.50                                                                    (FY:081-082),1.92,0.5421,0.0552,0.2987
HEI,Non-Life Insurance,"25,001,574.00",540.00,0.95 %,2026/03/17 02:59:52,654.00-458.00,504.94,508.37,-14.27%,"1.26                                                                    (FY:082-083, Q:2)",428.57,209.67,2.58,8.00                                                                    (FY:081-082),6.94,0.5816,0.0794,0.3305
UAIL,Non-Life Insurance,"25,410,000.00",463.70,0.8 %,2026/03/17 02:59:57,673.00-422.10,459.25,459.65,-30.18%,"-8.39                                                                    (FY:082-083, Q:2)",-55.27,165.19,2.81,,0.97,0.8342,0.0567,0.4455
SPIL,Non-Life Insurance,"28,065,499.00",724.00,-0.14 %,2026/03/17 02:55:06,894.50-625.00,707.17,716.26,-18.16%,"-12.72                                                                    (FY:082-083, Q:2)",-56.92,241.34,3.00,25.00                                                                    (FY:081-082),2.38,0.6327,0.0526,0.3427
NIL,Non-Life Insurance,"27,722,783.00",657.00,0 %,2026/03/17 02:59:19,783.90-562.00,613.72,622.18,-14.90%,"0.78                                                                    (FY:082-083, Q:2)",842.31,229.46,2.86,12.79                                                                    (FY:081-082),7.05,0.5719,0.0709,0.3214
PRIN,Non-Life Insurance,"17,009,559.20",758.00,-0.01 %,2026/03/17 02:59:54,999.00-630.00,691.74,701.84,-24.20%,"14.40                                                                    (FY:082-083, Q:2)",52.64,203.11,3.73,0.47                                                                    (FY:081-082),9.58,0.6531,0.0688,0.3609
SALICO,Non-Life Insurance,"26,226,382.00",615.50,0.41 %,2026/03/17 02:59:35,765.90-570.10,600.81,601.80,-15.06%,"2.85                                                                    (FY:082-083, Q:2)",215.96,227.43,2.71,15.00                                                                    (FY:081-082),2.45,0.7681,0.0775,0.4228
IGI,Non-Life Insurance,"30,293,346.39",454.00,0 %,2026/03/17 02:59:36,615.00-392.00,425.89,426.96,-25.21%,"-11.96                                                                    (FY:082-083, Q:2)",-37.96,176.25,2.58,5.00                                                                    (FY:081-082),6.60,0.7220,0.0564,0.3892
NLIC,Life Insurance,"94,802,013.70",802.00,-0.1 %,2026/03/17 02:59:51,890.00-702.00,788.17,791.47,2.30%,"7.11                                                                    (FY:082-083, Q:2)",112.80,124.86,6.42,16.05                                                                    (FY:081-082),1.75,0.4681,0.0382,0.2531
